screenname,name,followers_in_millions,gender
BarackObama,Barack Obama,122,male
justinbieber,Justin Bieber,112,male
katyperry,Katy Perry,108,female
rihanna,Rihanna,98,female
Cristiano,Cristiano Ronaldo,88,male
taylorswift13,Taylor Swift,87,female
ladygaga,Lady Gaga,82,female
ArianaGrande,Ariana Grande,77,female
KimKardashian,Kim Kardashian,67,female
jimmyfallon,Jimmy Fallon,52,male
BillGates,Bill Gates,52,male
neymarjr,Neymar,49,male
KingJames,LeBron James,47,male
SrBachchan,Amitabh Bachchan,44,male
Oprah,Oprah Winfrey,43,female
elonmusk,Elon Musk,38,male
imVkohli,Virat Kohli,38,male
KevinHart4real,Kevin Hart,36,male
HillaryClinton,Hillary Clinton,29,female
JoeBiden,Joe Biden,9,male
KamalaHarris,Kamala Harris,6,female
JustinTrudeau,Justin Trudeau,5,male
richardbranson,Richard Branson,13,male
chrisbrown,Chris Brown,32,male
EmmaWatson,Emma Watson,29,female
ConanOBrien,Conan O'Brien,28,male
ShawnMendes,Shawn Mendes,26,male
MariahCarey,Mariah Carey,22,female
MarthaStewart,Martha Stewart,4,female
LoriGreiner,Lori Greiner,2,female
nickjonas,Nick Jonas,15,male
mPinoe,Megan Rapinoe,1,female
serenawilliams,Serena Williams,11,female
Simone_Biles,Simone Biles,1,female
RondaRousey,Ronda Rousey,4,female
AOC,Alexandria Ocasio-Cortez,9,female
amyklobuchar,Amy Klobuchar,1,female
